query,tweet_id,text,rt_count,username,likes_count,created_at
kilian jornet,1323782936001392640,Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/PAZLqz4PzT,0,zciclismo,0,2020-11-04 00:23:41
kilian jornet,1323732945560100864,RT @triatlonnoticia: Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/MzoRZLRByA,2,BatiLob,0,2020-11-03 21:05:02
kilian jornet,1323724741400760322,"RT @MMozos: Bravo por  Kilian Jornet:
 pide sanciones duras para los ciclistas que tiran basura en carrera https://t.co/1fCMBHG5mW a través…",1,burgosenrutabtt,0,2020-11-03 20:32:26
kilian jornet,1323724194367082504,Kilian Jornet pide sanciones más duras para los que tiran basura en la carretera https://t.co/MzoRZLRByA,1,triatlonnoticia,4,2020-11-03 20:30:16
kilian jornet,1323720875078754317,Primer día de escalada de mi vida y un pasito más cerca de ser la nueva Kilian Jornet https://t.co/KAipg3mmn7,0,elenuskytrusky,2,2020-11-03 20:17:04
kilian jornet,1323715931726618624,"RT @meneame_net: Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/lDFBrA…",11,jmmandujar,0,2020-11-03 19:57:26
kilian jornet,1323695569219522561,RT @triatlonnoticia: Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/MzoRZLRByA,2,Anton_Gomez,0,2020-11-03 18:36:31
kilian jornet,1323695091698012165,Kilian Jornet pide sanciones duras para los ciclistas que tiran basura en carrera https://t.co/jnDA58xqFe via @marca,0,LoPiolet,0,2020-11-03 18:34:37
kilian jornet,1323694550796435457,RT @triatlonnoticia: Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/kQSLAfhgIi,5,joaquin_garnes,0,2020-11-03 18:32:28
kilian jornet,1323694012344225792,Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/MzoRZLRByA,2,triatlonnoticia,11,2020-11-03 18:30:20
kilian jornet,1323685537920811012,"RT @BolsaCorredor: 🚫Kilian Jornet, sobre los ciclistas: “No tirar basura al suelo debe ser natural, como no doparse”

El corredor ha hecho…",1,oschdez,0,2020-11-03 17:56:39
kilian jornet,1323684738213793793,"Très attendu en France, le 5e livre de @kilianj sort enfin demain, 4 novembre. Impatient, notre journaliste s’était… https://t.co/iFo00hLEXU",0,Outsidefr,0,2020-11-03 17:53:29
kilian jornet,1323679271458639873,Kilian Jornet pide sanciones duras para los ciclistas que tiran basura en carrera https://t.co/qXo9f1yowa a través de @marca,0,JJRLara,0,2020-11-03 17:31:45
kilian jornet,1323675950488444930,"Bravo por  Kilian Jornet:
 pide sanciones duras para los ciclistas que tiran basura en carrera https://t.co/1fCMBHG5mW a través de @marca",1,MMozos,2,2020-11-03 17:18:33
kilian jornet,1323670402711932928,"RT @RunningItalia: Kilian Jornet, campione di trail runner, dal 16 ottobre ha aggiunto anche il running su strada alla sfilza di gare affro…",1,SergioSangio,0,2020-11-03 16:56:31
kilian jornet,1323669226519994369,"Kilian Jornet, campione di trail runner, dal 16 ottobre ha aggiunto anche il running su strada alla sfilza di gare… https://t.co/TmLiLXRoH4",1,RunningItalia,4,2020-11-03 16:51:50
kilian jornet,1323667080579850253,RT @triatlonnoticia: Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/kQSLAfhgIi,5,LapizyPelotas,0,2020-11-03 16:43:19
kilian jornet,1323659842096107521,"RT @20m: Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/mURwGqdcfq",10,MariaLu8098747,0,2020-11-03 16:14:33
kilian jornet,1323652080360398848,Gaudeix ja de la trilogia de @SummitsofMyLife de @Kilian en un únic pack especial que inclou escenes extra del proj… https://t.co/FCY9MaEMiS,0,lymbus,0,2020-11-03 15:43:42
kilian jornet,1323651337247170561,🏔️🚯 Kilian Jornet pide sanciones para los deportistas que tiren basura con una reglamentación de las federaciones m… https://t.co/XyDhhFr9n9,0,EFEyDeporte,0,2020-11-03 15:40:45
kilian jornet,1323650769191636992,RT @AlfonsoGarciaTT: Kilian Jornet en @runners_es: “Si a cada vez que un competidor tira un envoltorio se le añade un segundo o se descalif…,1,TerritorioTrail,0,2020-11-03 15:38:30
kilian jornet,1323649603661668352,"RT @20m: Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/mURwGqdcfq",10,franpegaso8,0,2020-11-03 15:33:52
kilian jornet,1323647798147993600,Kilian Jornet pide sanciones duras para los ciclistas que tiran basura en carrera https://t.co/kUXm0yya9B a través de @marca,0,SergioRodAld,0,2020-11-03 15:26:41
kilian jornet,1323647167576375298,"RT @revistaTriatlon: Kilian Jornet critica (con razón) que los ciclistas profesionales tiren desperdicios en las cunetas

""Si cada vez que…",3,albertovivas86,0,2020-11-03 15:24:11
kilian jornet,1323646331898966016,"RT @20m: Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/mURwGqdcfq",10,DonJL86,0,2020-11-03 15:20:52
kilian jornet,1323643155082891264,RT @triatlonnoticia: Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/kQSLAfhgIi,5,christoforo00,0,2020-11-03 15:08:14
kilian jornet,1323637004324737026,"RT @20m: Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/mURwGqdcfq",10,Amiguru09923040,0,2020-11-03 14:43:48
kilian jornet,1323635903995224066,"RT @20m: Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/mURwGqdcfq",10,tonajillo,0,2020-11-03 14:39:26
kilian jornet,1323635669621760001,"Kilian Jornet, sobre los ciclistas: ""No tirar basura a la cuneta debería ser natural, como no doparse"" https://t.co/mURwGqdcfq",10,20m,40,2020-11-03 14:38:30
kilian jornet,1323633634268631040,"RT @runners_es: Kilian Jornet @kilianj  da un toque a los ciclistas 🤬

""Si a cada vez que un competidor tira un envoltorio se le añade un s…",65,chusita2907,0,2020-11-03 14:30:24
kilian jornet,1323631552920723461,"RT @_r4fun_: Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura durante la competición.

🗣""Si cada vez que se tira…",47,LuisGA1978,0,2020-11-03 14:22:08
kilian jornet,1323626056071450624,Kilian Jornet pide sanciones más duras para los ciclistas que tiran basura en la carretera https://t.co/zd9TTbG663… https://t.co/j8eSE1FtYR,0,netdeportivas,0,2020-11-03 14:00:18
kilian jornet,1323624383634722816,"Lo pensaba estos días viendo #LaVuelta
La imagen que se transmite es lamentable. https://t.co/zkbJKLVKAP",0,edmldmv,1,2020-11-03 13:53:39
kilian jornet,1323622205868052480,"🚫Kilian Jornet, sobre los ciclistas: “No tirar basura al suelo debe ser natural, como no doparse”

El corredor ha h… https://t.co/98BVlzIly7",1,BolsaCorredor,10,2020-11-03 13:45:00
kilian jornet,1323615823697711105,Hay deportistas que eligen ir mas allá de sus gestas. Kilian Jornet pide sanciones duras para los ciclistas que tir… https://t.co/zr7szzGfVL,0,Bready7,0,2020-11-03 13:19:38
